Entity properties name,Variable observation value
10001,12265
10002,36656
10003,26671
10004,1567
10005,4131
10006,1436
10007,4152
10009,27362
10010,17214
10011,25435
10012,10971
10013,14345
10014,14400
10016,25550
10017,7236
10018,4299
10019,24381
10020,0
10021,18885
10022,14783
10023,27356
10024,26161
10025,42316
10026,18141
10027,30474
10028,21263
10029,33488
10030,13574
10031,29865
10032,29645
10033,30266
10034,20137
10035,18056
10036,15190
10037,8092
10038,11162
10039,12282
10040,21432
10044,5754
10065,13311
10069,3226
10075,9832
10103,0
10110,0
10111,0
10112,0
10115,0
10119,0
10128,25068
10152,0
10153,0
10154,0
10162,510
10165,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10177,0
10199,0
10271,0
10278,0
10279,40
10280,4983
10282,3165
10301,18402
10302,9319
10303,13236
10304,20485
10305,20780
10306,26106
10307,7630
10308,13940
10309,16799
10310,11544
10311,0
10312,29437
10314,42957
10451,22052
10452,34501
10453,36256
10454,18236
10455,18997
10456,42435
10457,35152
10458,40706
10459,23640
10460,27317
10461,24843
10462,36382
10463,32319
10464,2098
10465,22015
10466,32393
10467,47535
10468,37494
10469,33560
10470,7244
10471,10680
10472,32465
10473,27675
10474,5925
10475,19508
11004,7207
11005,839
11101,16539
11102,13752
11103,17522
11104,11773
11105,18952
11106,17995
11109,3106
11201,30947
11203,34397
11204,37784
11205,21957
11206,41953
11207,41427
11208,48469
11209,32859
11210,29528
11211,53058
11212,31257
11213,31475
11214,44302
11215,34026
11216,27245
11217,19890
11218,37181
11219,43804
11220,44732
11221,39741
11222,17841
11223,39150
11224,20862
11225,25422
11226,44002
11228,21445
11229,39240
11230,42926
11231,17209
11232,14399
11233,36491
11234,41955
11235,36816
11236,43378
11237,23755
11238,25085
11239,5030
11351,0
11354,24095
11355,39165
11356,11853
11357,19321
11358,17838
11359,0
11360,8657
11361,13531
11362,8578
11363,3149
11364,17664
11365,20451
11366,6925
11367,19018
11368,56848
11369,15493
11370,17268
11371,0
11372,31698
11373,47161
11374,19991
11375,34274
11377,41536
11378,19314
11379,18024
11385,52172
11411,9558
11412,17263
11413,19114
11414,13350
11415,9103
11416,13524
11417,14326
11418,19239
11419,24543
11420,23981
11421,19771
11422,15405
11423,14167
11424,40
11425,0
11426,9962
11427,12360
11428,9844
11429,12650
11430,220
11432,30481
11433,16824
11434,27617
11435,30355
11436,9101
11451,0
11691,32005
11692,10930
11693,5849
11694,10605
11697,1717
