Entity properties name,Variable observation value
10001,1881
10002,7492
10003,2374
10004,136
10005,405
10006,226
10007,698
10009,4283
10010,3090
10011,3079
10012,1047
10013,2696
10014,1241
10016,2886
10017,729
10018,183
10019,1874
10020,0
10021,4347
10022,1720
10023,5393
10024,6517
10025,8654
10026,5064
10027,7481
10028,4942
10029,10620
10030,3786
10031,6890
10032,5498
10033,7116
10034,5140
10035,4952
10036,1260
10037,2468
10038,2773
10039,4539
10040,5909
10044,1221
10065,2513
10069,1335
10075,2243
10103,0
10110,0
10111,0
10112,0
10115,0
10119,0
10128,5106
10152,0
10153,0
10154,0
10162,63
10165,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10177,0
10199,0
10271,0
10278,0
10279,0
10280,1099
10282,1156
10301,5277
10302,3196
10303,5550
10304,7255
10305,6256
10306,8357
10307,2708
10308,4459
10309,5523
10310,4115
10311,0
10312,10075
10314,14057
10451,8701
10452,15888
10453,15137
10454,7677
10455,8481
10456,18004
10457,16018
10458,16143
10459,9225
10460,11529
10461,7568
10462,11802
10463,10448
10464,645
10465,6647
10466,12153
10467,18019
10468,13848
10469,10556
10470,1699
10471,2494
10472,12927
10473,10335
10474,2389
10475,5661
11004,1769
11005,0
11101,3567
11102,2207
11103,2796
11104,2793
11105,3624
11106,3821
11109,287
11201,6866
11203,11619
11204,14850
11205,9143
11206,16698
11207,14840
11208,19637
11209,8974
11210,11646
11211,16744
11212,11250
11213,10425
11214,13151
11215,9793
11216,5563
11217,4545
11218,13771
11219,21131
11220,15142
11221,11676
11222,2442
11223,13439
11224,6379
11225,7416
11226,14269
11228,5975
11229,12886
11230,15344
11231,5989
11232,3896
11233,12331
11234,14551
11235,8767
11236,15934
11237,6490
11238,5263
11239,1945
11351,0
11354,5263
11355,9071
11356,4221
11357,5408
11358,4741
11359,0
11360,1888
11361,3659
11362,2406
11363,845
11364,5403
11365,5655
11366,1839
11367,6140
11368,19569
11369,4428
11370,3175
11371,0
11372,8966
11373,14523
11374,5132
11375,8374
11377,9368
11378,6260
11379,5498
11385,15279
11411,2680
11412,5343
11413,6517
11414,3976
11415,2548
11416,4003
11417,5202
11418,5940
11419,6078
11420,6625
11421,6108
11422,4860
11423,4132
11424,0
11425,0
11426,2809
11427,3278
11428,2637
11429,3653
11430,0
11432,8981
11433,6332
11434,10213
11435,8387
11436,3044
11451,0
11691,14809
11692,4401
11693,2061
11694,3274
11697,426
