Entity properties name,Variable observation value
10001,15880
10002,23574
10003,39951
10004,2259
10005,6326
10006,2291
10007,5784
10009,34556
10010,23667
10011,39014
10012,17165
10013,17734
10014,25470
10016,36986
10017,11723
10018,4693
10019,30126
10020,0
10021,35183
10022,26359
10023,48343
10024,50515
10025,59085
10026,9971
10027,19471
10028,40441
10029,23188
10030,5412
10031,17993
10032,16262
10033,23458
10034,14749
10035,7743
10036,17606
10037,2339
10038,12347
10039,3954
10040,14944
10044,5949
10065,24572
10069,3111
10075,18775
10103,0
10110,0
10111,0
10112,0
10115,0
10119,0
10128,44069
10152,0
10153,0
10154,0
10162,1162
10165,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10177,0
10199,0
10271,0
10278,0
10279,96
10280,7129
10282,4670
10301,21927
10302,9247
10303,11474
10304,21822
10305,29468
10306,43058
10307,13834
10308,26378
10309,31759
10310,13815
10311,0
10312,53863
10314,63791
10451,8062
10452,11088
10453,8986
10454,6264
10455,6247
10456,11109
10457,14332
10458,13082
10459,5971
10460,10055
10461,24399
10462,15651
10463,32246
10464,3031
10465,25152
10466,7801
10467,24388
10468,12013
10469,12217
10470,6508
10471,14922
10472,7903
10473,17329
10474,1603
10475,6277
11004,4999
11005,2137
11101,13324
11102,16458
11103,23557
11104,14891
11105,27351
11106,20347
11109,3534
11201,41093
11203,3385
11204,42054
11205,25199
11206,40492
11207,12502
11208,23864
11209,48436
11210,19856
11211,74440
11212,6398
11213,16970
11214,42330
11215,51922
11216,19128
11217,24204
11218,43368
11219,57699
11220,27716
11221,21810
11222,29347
11223,44647
11224,25039
11225,16737
11226,15139
11228,23533
11229,52106
11230,60164
11231,25236
11232,11592
11233,10444
11234,35078
11235,56486
11236,5346
11237,16614
11238,29580
11239,3251
11351,0
11354,9821
11355,10056
11356,7276
11357,26062
11358,14150
11359,0
11360,11434
11361,13018
11362,8426
11363,3739
11364,13675
11365,13423
11366,5288
11367,21256
11368,34083
11369,7943
11370,12548
11371,0
11372,31320
11373,15131
11374,21237
11375,42121
11377,35187
11378,25460
11379,28321
11385,78232
11411,930
11412,945
11413,940
11414,21506
11415,11214
11416,7070
11417,9768
11418,14804
11419,4066
11420,6846
11421,14031
11422,2430
11423,3767
11424,13
11425,0
11426,6927
11427,5949
11428,3483
11429,1161
11430,51
11432,11250
11433,1845
11434,2657
11435,10510
11436,921
11451,0
11691,23448
11692,4666
11693,7734
11694,17045
11697,3360
