Entity properties name,Variable observation value
10001,12761
10002,37707
10003,28000
10004,1743
10005,4533
10006,1824
10007,3414
10009,30905
10010,17549
10011,24793
10012,12063
10013,14312
10014,14671
10016,27362
10017,8829
10018,3836
10019,21140
10020,0
10021,23368
10022,16791
10023,34872
10024,34553
10025,49846
10026,20796
10027,34254
10028,26699
10029,41129
10030,17422
10031,30415
10032,29882
10033,28382
10034,21796
10035,18943
10036,13041
10037,11085
10038,13043
10039,14808
10040,23765
10044,7016
10065,17028
10069,3278
10075,12759
10103,0
10110,0
10111,0
10112,0
10115,0
10119,0
10128,32925
10152,0
10153,0
10154,0
10162,730
10165,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10177,0
10199,0
10271,0
10278,0
10279,56
10280,4389
10282,2921
10301,19599
10302,8623
10303,13928
10304,21648
10305,22188
10306,28212
10307,7423
10308,14961
10309,17097
10310,12624
10311,0
10312,31677
10314,46981
10451,27371
10452,39878
10453,42602
10454,19571
10455,21303
10456,48044
10457,39527
10458,45187
10459,24751
10460,30197
10461,26238
10462,39059
10463,37917
10464,2224
10465,23051
10466,42126
10467,53332
10468,41284
10469,38990
10470,8256
10471,11897
10472,35524
10473,31952
10474,5654
10475,24283
11004,8090
11005,1410
11101,15998
11102,14607
11103,17897
11104,13264
11105,18500
11106,19099
11109,3021
11201,33851
11203,43192
11204,38056
11205,25909
11206,45646
11207,49440
11208,54157
11209,35509
11210,32895
11211,51503
11212,42780
11213,35907
11214,46070
11215,35969
11216,32322
11217,22571
11218,36099
11219,44008
11220,45925
11221,45841
11222,18869
11223,41350
11224,24725
11225,30650
11226,52330
11228,22433
11229,42669
11230,44262
11231,20587
11232,12102
11233,43305
11234,48417
11235,40105
11236,55443
11237,23017
11238,30017
11239,7802
11351,0
11354,28256
11355,42193
11356,12325
11357,20797
11358,18827
11359,0
11360,10235
11361,15000
11362,10116
11363,3685
11364,18202
11365,23279
11366,7184
11367,21123
11368,51813
11369,15200
11370,12098
11371,0
11372,31409
11373,49334
11374,23182
11375,38341
11377,40485
11378,19719
11379,19756
11385,52853
11411,10915
11412,20724
11413,22696
11414,14322
11415,9361
11416,12563
11417,16830
11418,18427
11419,23412
11420,23285
11421,19883
11422,17381
11423,15365
11424,0
11425,0
11426,10260
11427,12736
11428,9986
11429,15158
11430,0
11432,33801
11433,20105
11434,34973
11435,29037
11436,9854
11451,0
11691,36449
11692,11464
11693,7180
11694,10653
11697,1810
