Entity properties name,Variable observation value
10001,1986
10002,9169
10003,7972
10004,272
10005,475
10006,173
10007,1109
10009,7518
10010,3526
10011,3420
10012,2244
10013,2513
10014,1742
10016,3787
10017,918
10018,874
10019,3034
10020,0
10021,3363
10022,2039
10023,4911
10024,3934
10025,10110
10026,5133
10027,11908
10028,2758
10029,11461
10030,3180
10031,7061
10032,6456
10033,7423
10034,4713
10035,6937
10036,1643
10037,2813
10038,2946
10039,3517
10040,5504
10044,2478
10065,1940
10069,1001
10075,1970
10103,0
10110,0
10111,0
10112,0
10115,0
10119,0
10128,4670
10152,0
10153,0
10154,0
10162,18
10165,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10177,0
10199,0
10271,0
10278,0
10279,0
10280,648
10282,630
10301,5636
10302,2997
10303,4932
10304,5912
10305,5557
10306,7141
10307,2363
10308,3416
10309,3716
10310,3402
10311,0
10312,8186
10314,12256
10451,7073
10452,12209
10453,12179
10454,5942
10455,6550
10456,14249
10457,10171
10458,12128
10459,7184
10460,8820
10461,6708
10462,10683
10463,7934
10464,429
10465,6090
10466,10668
10467,14192
10468,11160
10469,11206
10470,1458
10471,2881
10472,12763
10473,7971
10474,2256
10475,5972
11004,2003
11005,18
11101,3676
11102,3132
11103,3433
11104,2930
11105,3642
11106,3520
11109,349
11201,5666
11203,10467
11204,11065
11205,6421
11206,11097
11207,13920
11208,21471
11209,7837
11210,8972
11211,12089
11212,10093
11213,9390
11214,12217
11215,5217
11216,5656
11217,3070
11218,10231
11219,14825
11220,14039
11221,11774
11222,2900
11223,11532
11224,6081
11225,6271
11226,13746
11228,5961
11229,11278
11230,12310
11231,2939
11232,4452
11233,12993
11234,11875
11235,9941
11236,14982
11237,6971
11238,3570
11239,1415
11351,0
11354,9111
11355,15006
11356,4017
11357,5101
11358,5682
11359,0
11360,2292
11361,3287
11362,2014
11363,474
11364,4738
11365,6966
11366,2000
11367,5314
11368,14728
11369,4757
11370,8880
11371,0
11372,7506
11373,14116
11374,5170
11375,6951
11377,11399
11378,5792
11379,4031
11385,14669
11411,1958
11412,4877
11413,5359
11414,2643
11415,1704
11416,4496
11417,5234
11418,5398
11419,8670
11420,9246
11421,6161
11422,4330
11423,4222
11424,40
11425,0
11426,2365
11427,3531
11428,2872
11429,3776
11430,22
11432,10886
11433,5436
11434,8198
11435,8240
11436,2779
11451,0
11691,8291
11692,2499
11693,1390
11694,2049
11697,383
